abbrev,smi
TG(16:0_16:0_18:1),C(OC(=O)CCCCCCCCC/C=C/CCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:0_18:0_18:1),C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:0_18:1_18:1),C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:0_18:1_20:1);TG(18:0_18:1_18:1),C(OC(=O)CCCCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:0_18:2_18:2);TG(16:1_18:1_18:2),C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:1_18:1_18:1);TG(16:0_18:1_18:2),C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
TG(16:1_18:2_18:3);TG(14:0_18:2_20:4),C(OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
TG(18:1_18:1_18:1);TG(18:0_18:1_18:2);TG(16:0_18:1_20:2),C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
TG(18:1_18:2_22:5);TG(18:1_18:1_22:6),C(OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
TG(18:2_18:2_20:4);TG(16:0_18:2_22:6),C(OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
